Particle	Position	Velocity	Acceleration	Density	Pressure	Energy	Total Energy	Total Momentum	Time
57	-0.356250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
58	-0.353750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
59	-0.351250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
60	-0.348750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
61	-0.346250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
62	-0.343750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
63	-0.341250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
64	-0.338750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
65	-0.336250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
66	-0.333750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
67	-0.331250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
68	-0.328750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
69	-0.326250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
70	-0.323750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
71	-0.321250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
72	-0.318750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
73	-0.316250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
74	-0.313750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
75	-0.311250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
76	-0.308750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
77	-0.306250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
78	-0.303750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
79	-0.301250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
80	-0.298750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
81	-0.296250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
82	-0.293750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
83	-0.291250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
84	-0.288750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
85	-0.286250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
86	-0.283750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
87	-0.281250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
88	-0.278750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
89	-0.276250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
90	-0.273750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
91	-0.271250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
92	-0.268750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
93	-0.266250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
94	-0.263750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
95	-0.261250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
96	-0.258750	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
97	-0.256250	0.000000	0.000000	1.000000	1.000000	2.500000	1.474375	0.000000	0.000000
